study_name,study_value,method,runs,mean_best_raw_objective,std_best_raw_objective,mean_best_valid_energy,mean_feasible_hit_rate,mean_approx_gap,mean_elapsed_seconds,mean_effective_shots,mean_estimated_billed_seconds,mean_estimated_qpu_cost_usd,win_rate,ci95_best_raw_objective_low,ci95_best_raw_objective_high,ci95_feasible_hit_rate_low,ci95_feasible_hit_rate_high,ci95_win_rate_low,ci95_win_rate_high,p_value_vs_random_best_valid
regime,clustered_assets,bayesian_optimization,3,-0.38539586384922914,0.056869806560117996,-0.43000791263949517,1.0,0.010387030391388788,0.5272150556678147,3840.0,24.01180299899958,0.0,0.0,-0.465796348543027,-0.343439519845351,1.0,1.0,0.0,0.0,1.0
regime,clustered_assets,classical_markowitz,3,-0.43000791263949517,0.06393634977928526,-0.43000791263949517,1.0,0.0,0.00015175000104742745,0.0,0.0,0.0,1.0,-0.517253901473621,-0.3658206699036788,1.0,1.0,1.0,1.0,1.0
regime,clustered_assets,random,3,-0.37412566511111606,0.05054132787501042,-0.43000791263949517,1.0,0.009351628425163535,0.01948680533435739,3840.0,24.010968291663932,0.0,0.0,-0.44436736066335025,-0.32754982324882015,1.0,1.0,0.0,0.0,1.0
regime,clustered_assets,spsa,3,-0.374235374425281,0.04777836479990316,-0.43000791263949517,1.0,0.014504493074633902,0.01908076366817113,3840.0,24.010760888661025,0.0,0.0,-0.4403224849897109,-0.32900458904912927,1.0,1.0,0.0,0.0,1.0
regime,hard_budget,bayesian_optimization,3,-0.3096293684355596,0.0167406697879882,-0.3140080740545379,1.0,0.0006216252964895974,0.43890606966791285,3840.0,24.011877333003213,0.0,0.0,-0.3288194524132161,-0.2880268060897401,1.0,1.0,0.0,0.0,1.0
regime,hard_budget,classical_markowitz,3,-0.3140080740545379,0.017781954565178955,-0.3140080740545379,1.0,0.0,0.00013506966691541797,0.0,0.0,0.0,1.0,-0.33501277574253246,-0.29153080181263985,1.0,1.0,1.0,1.0,1.0
regime,hard_budget,random,3,-0.30972776711516037,0.01780502443283489,-0.3140080740545379,1.0,0.0006199801129784799,0.019479138662669964,3840.0,24.01096849932704,0.0,0.0,-0.33015257210793164,-0.2867619788590551,1.0,1.0,0.0,0.0,1.0
regime,hard_budget,spsa,3,-0.30897340052765315,0.016433965771881196,-0.3140080740545379,1.0,0.0004891059965674093,0.01899094466837899,3840.0,24.010681555342064,0.0,0.0,-0.3279803999578392,-0.28788701145011153,1.0,1.0,0.0,0.0,1.0
regime,high_correlation,bayesian_optimization,3,-0.3341352826603752,0.0779609972048308,-0.37398662379262665,1.0,0.009197817139712704,0.6338090969996605,3840.0,24.011854347001645,0.0,0.0,-0.44436390870400005,-0.2769928847886412,1.0,1.0,0.0,0.0,1.0
regime,high_correlation,classical_markowitz,3,-0.37398662379262665,0.0777966365210694,-0.37398662379262665,1.0,0.0,0.00013618066683799648,0.0,0.0,0.0,1.0,-0.48293064540281794,-0.30621517324234954,1.0,1.0,1.0,1.0,1.0
regime,high_correlation,random,3,-0.3163541372231716,0.06526808574821778,-0.37398662379262665,1.0,0.009320716170616715,0.019330528334345825,3840.0,24.010929319001054,0.0,0.0,-0.4081582041901608,-0.2621518331359262,1.0,1.0,0.0,0.0,1.0
regime,high_correlation,spsa,3,-0.31440038923047103,0.059632043190519936,-0.37398662379262665,1.0,0.012007875587644014,0.01895491666558276,3840.0,24.01064202766429,0.0,0.0,-0.39829871682507106,-0.2650502908478679,1.0,1.0,0.0,0.0,1.0
regime,low_correlation,bayesian_optimization,3,-0.38473101170024065,0.061109126692343085,-0.42885572054777005,1.0,0.011908988662977307,0.6606165553360673,3840.0,24.011743845658202,0.0,0.0,-0.4706081120113234,-0.3334061167347461,1.0,1.0,0.0,0.0,1.0
regime,low_correlation,classical_markowitz,3,-0.42885572054777005,0.06697382448069812,-0.42885572054777005,1.0,0.0,0.0001350693297960485,0.0,0.0,0.0,1.0,-0.5205418443010765,-0.3624340099866899,1.0,1.0,1.0,1.0,1.0
regime,low_correlation,random,3,-0.3695768594093173,0.054759797682067075,-0.42885572054777005,1.0,0.01051294826031016,0.019100611001097906,3840.0,24.01070629232466,0.0,0.0,-0.4458248174711003,-0.3197208800448161,1.0,1.0,0.0,0.0,1.0
